from_name_mm;to_name_mm;to_name_mm_long_en;to_name_mm_long_fr
Culture.Densite.Plan_plant.ha;seed.density;seed density;densité du semis
Sol_Fv.AlP;soil_Fv.AlP;soil [Fv | Al,P];sol [Fv | Al,P]
Sol_Al.P;soil_Al.P;soil [Al | P];sol [Al | P]
SerieSol_G.P;soil_G.P;soil [gley | podzol];sol [gley | podzol]
SerieSol_LG.SG;soil_LG.SG;soil [loam gley | sandy gley];sol [gley loameux | gley sableux]
pH;pH;pH;pH
Texture_C.asS;texture_C.csS;soil [C | c,s,S];sol [C | c,s,S]
Texture_a.sS;texture_c.sS;soil [c | s,S];sol [c | s,S]
Texture_s.S;texture_s.S;soil [s | S];sol [s | S]
SDI;SDI;SDI;IDS
UTMc;UTM;UTM;UTM
tMean;tMean;mean temperature;température moyenne
pcpCum;pcpCum;cumulated precipitations;précipitations cumulées
(Intercept).ranef;(Intercept).ranef;Random effect;Effet aléatoire
(Intercept);(Intercept);Intercept;Intercept
doseP;dose P;dose P;dose P
dose.P_sc;dose P sc;dose P scaled;dose P centré-réduit
SDI_.30;SDI_.30;SDI 0-30 days;IDS 0-30 jours
UTMc_.30;UTM_.30;UTM 0-30 days;UTM 0-30 jours
Tmean_.30;Tmean_.30;mean temperature 0-30 days;température moyenne 0-30 jours
PcpCum_.30;PcpCum_.30;cumulated precipitations 0-30 days;précipitations cumulées 0-30 jours
Performance.P.HauteurPlant_cm;Performance.P.HauteurPlant_cm;plant height, 5 to 6 leaves;hauteur du plant, 5 à 6 feuilles
amendement.organique;amendement.organique;Organic amendments;Amendements organiques
hp_log.temoin;hp_log.temoin;Plant height response log ratio;Hauteur du plant, log ratio de réponse
(Intercept).ranef;(Intercept).ranef;Random effect on intercept;Effet aléatoire sur l'intercept
